Date,Area,DataSeries,OBS_Value
2021-06-01,GE,Retail_Trade,185.3
2021-05-01,GE,Retail_Trade,189.7
2021-04-01,GE,Retail_Trade,189.9
2021-03-01,GE,Retail_Trade,210.3
2021-02-01,GE,Retail_Trade,174.1
2021-01-01,GE,Retail_Trade,180.1
2020-12-01,GE,Retail_Trade,219.6
2020-11-01,GE,Retail_Trade,217.0
2020-10-01,GE,Retail_Trade,183.1
2020-09-01,GE,Retail_Trade,161.3
2020-08-01,GE,Retail_Trade,151.9
2020-07-01,GE,Retail_Trade,158.9
2020-06-01,GE,Retail_Trade,161.6
2020-05-01,GE,Retail_Trade,166.0
2020-04-01,GE,Retail_Trade,171.2
2020-03-01,GE,Retail_Trade,152.1
2020-02-01,GE,Retail_Trade,130.9
2020-01-01,GE,Retail_Trade,139.4
2019-12-01,GE,Retail_Trade,165.7
2019-11-01,GE,Retail_Trade,163.8
2019-10-01,GE,Retail_Trade,141.4
2019-09-01,GE,Retail_Trade,133.5
2019-08-01,GE,Retail_Trade,126.3
2019-07-01,GE,Retail_Trade,138.7
2019-06-01,GE,Retail_Trade,124.6
2019-05-01,GE,Retail_Trade,128.6
2019-04-01,GE,Retail_Trade,132.2
2019-03-01,GE,Retail_Trade,131.1
2019-02-01,GE,Retail_Trade,119.0
2019-01-01,GE,Retail_Trade,132.1
2018-12-01,GE,Retail_Trade,148.1
2018-11-01,GE,Retail_Trade,160.0
2018-10-01,GE,Retail_Trade,134.9
2018-09-01,GE,Retail_Trade,118.7
2018-08-01,GE,Retail_Trade,117.9
2018-07-01,GE,Retail_Trade,121.4
2018-06-01,GE,Retail_Trade,118.7
2018-05-01,GE,Retail_Trade,117.5
2018-04-01,GE,Retail_Trade,120.8
2018-03-01,GE,Retail_Trade,124.4
2018-02-01,GE,Retail_Trade,108.3
2018-01-01,GE,Retail_Trade,120.1
2017-12-01,GE,Retail_Trade,149.5
2017-11-01,GE,Retail_Trade,151.2
2017-10-01,GE,Retail_Trade,117.8
2017-09-01,GE,Retail_Trade,117.6
2017-08-01,GE,Retail_Trade,113.1
2017-07-01,GE,Retail_Trade,110.6
2017-06-01,GE,Retail_Trade,111.7
2017-05-01,GE,Retail_Trade,117.3
2017-04-01,GE,Retail_Trade,107.4
2017-03-01,GE,Retail_Trade,121.6
2017-02-01,GE,Retail_Trade,105.8
2017-01-01,GE,Retail_Trade,114.0
2016-12-01,GE,Retail_Trade,145.2
2016-11-01,GE,Retail_Trade,133.7
2016-10-01,GE,Retail_Trade,115.3
2016-09-01,GE,Retail_Trade,106.0
2016-08-01,GE,Retail_Trade,104.8
2016-07-01,GE,Retail_Trade,98.3
2016-06-01,GE,Retail_Trade,104.8
2016-05-01,GE,Retail_Trade,102.3
2016-04-01,GE,Retail_Trade,105.9
2016-03-01,GE,Retail_Trade,109.6
2016-02-01,GE,Retail_Trade,103.7
2016-01-01,GE,Retail_Trade,103.4
2015-12-01,GE,Retail_Trade,136.5
2015-11-01,GE,Retail_Trade,118.7
2015-10-01,GE,Retail_Trade,109.6
2015-09-01,GE,Retail_Trade,105.7
2015-08-01,GE,Retail_Trade,95.6
2015-07-01,GE,Retail_Trade,100.8
2015-06-01,GE,Retail_Trade,96.9
2015-05-01,GE,Retail_Trade,93.4
2015-04-01,GE,Retail_Trade,83.4
2015-03-01,GE,Retail_Trade,93.8
2015-02-01,GE,Retail_Trade,81.5
2015-01-01,GE,Retail_Trade,84.1
2014-12-01,GE,Retail_Trade,96.1
2014-11-01,GE,Retail_Trade,88.9
2014-10-01,GE,Retail_Trade,86.8
2014-09-01,GE,Retail_Trade,81.6
2014-08-01,GE,Retail_Trade,74.0
2014-07-01,GE,Retail_Trade,76.4
2014-06-01,GE,Retail_Trade,72.2
2014-05-01,GE,Retail_Trade,76.0
2014-04-01,GE,Retail_Trade,79.1
2014-03-01,GE,Retail_Trade,82.4
2014-02-01,GE,Retail_Trade,71.6
2014-01-01,GE,Retail_Trade,79.4
2013-12-01,GE,Retail_Trade,89.2
2013-11-01,GE,Retail_Trade,88.1
2013-10-01,GE,Retail_Trade,82.7
2013-09-01,GE,Retail_Trade,77.6
2013-08-01,GE,Retail_Trade,71.2
2013-07-01,GE,Retail_Trade,74.4
2013-06-01,GE,Retail_Trade,71.4
2013-05-01,GE,Retail_Trade,74.4
2013-04-01,GE,Retail_Trade,79.6
2013-03-01,GE,Retail_Trade,76.1
2013-02-01,GE,Retail_Trade,68.4
2013-01-01,GE,Retail_Trade,76.2
2012-12-01,GE,Retail_Trade,82.9
2012-11-01,GE,Retail_Trade,84.3
2012-10-01,GE,Retail_Trade,81.2
2012-09-01,GE,Retail_Trade,72.2
2012-08-01,GE,Retail_Trade,65.4
2012-07-01,GE,Retail_Trade,69.6
2012-06-01,GE,Retail_Trade,70.0
2012-05-01,GE,Retail_Trade,68.9
2012-04-01,GE,Retail_Trade,63.4
2012-03-01,GE,Retail_Trade,71.4
2012-02-01,GE,Retail_Trade,71.1
2012-01-01,GE,Retail_Trade,68.8
2011-12-01,GE,Retail_Trade,77.8
2011-11-01,GE,Retail_Trade,79.5
2011-10-01,GE,Retail_Trade,74.7
2011-09-01,GE,Retail_Trade,72.7
2011-08-01,GE,Retail_Trade,69.9
2011-07-01,GE,Retail_Trade,63.2
2011-06-01,GE,Retail_Trade,59.6
2011-05-01,GE,Retail_Trade,66.6
2011-04-01,GE,Retail_Trade,59.2
2011-03-01,GE,Retail_Trade,69.4
2011-02-01,GE,Retail_Trade,65.4
2011-01-01,GE,Retail_Trade,64.1
2010-12-01,GE,Retail_Trade,76.4
2010-11-01,GE,Retail_Trade,78.0
2010-10-01,GE,Retail_Trade,72.9
2010-09-01,GE,Retail_Trade,71.6
2010-08-01,GE,Retail_Trade,63.3
2010-07-01,GE,Retail_Trade,62.6
2010-06-01,GE,Retail_Trade,62.8
2010-05-01,GE,Retail_Trade,60.7
2010-04-01,GE,Retail_Trade,59.4
2010-03-01,GE,Retail_Trade,71.8
2010-02-01,GE,Retail_Trade,61.8
2010-01-01,GE,Retail_Trade,60.0
2009-12-01,GE,Retail_Trade,71.3
2009-11-01,GE,Retail_Trade,69.8
2009-10-01,GE,Retail_Trade,73.2
2009-09-01,GE,Retail_Trade,70.5
2009-08-01,GE,Retail_Trade,54.3
2009-07-01,GE,Retail_Trade,61.2
2009-06-01,GE,Retail_Trade,59.8
2009-05-01,GE,Retail_Trade,62.1
2009-04-01,GE,Retail_Trade,66.5
2009-03-01,GE,Retail_Trade,77.6
2009-02-01,GE,Retail_Trade,66.3
2009-01-01,GE,Retail_Trade,70.0
2008-12-01,GE,Retail_Trade,84.6
2008-11-01,GE,Retail_Trade,83.1
2008-10-01,GE,Retail_Trade,85.7
2008-09-01,GE,Retail_Trade,83.1
2008-08-01,GE,Retail_Trade,70.0
2008-07-01,GE,Retail_Trade,69.3
2008-06-01,GE,Retail_Trade,62.3
2008-05-01,GE,Retail_Trade,64.7
2008-04-01,GE,Retail_Trade,75.1
2008-03-01,GE,Retail_Trade,68.2
2008-02-01,GE,Retail_Trade,69.1
2008-01-01,GE,Retail_Trade,75.7
2007-12-01,GE,Retail_Trade,71.6
2007-11-01,GE,Retail_Trade,81.0
2007-10-01,GE,Retail_Trade,81.5
2007-09-01,GE,Retail_Trade,70.9
2007-08-01,GE,Retail_Trade,68.8
2007-07-01,GE,Retail_Trade,62.0
2007-06-01,GE,Retail_Trade,63.7
2007-05-01,GE,Retail_Trade,67.2
2007-04-01,GE,Retail_Trade,66.3
2007-03-01,GE,Retail_Trade,73.4
2007-02-01,GE,Retail_Trade,63.7
2007-01-01,GE,Retail_Trade,70.0
2006-12-01,GE,Retail_Trade,81.0
2006-11-01,GE,Retail_Trade,91.0
2006-10-01,GE,Retail_Trade,86.2
2006-09-01,GE,Retail_Trade,80.4
2006-08-01,GE,Retail_Trade,76.6
2006-07-01,GE,Retail_Trade,65.9
2006-06-01,GE,Retail_Trade,70.2
2006-05-01,GE,Retail_Trade,76.4
2006-04-01,GE,Retail_Trade,68.9
2006-03-01,GE,Retail_Trade,83.7
2006-02-01,GE,Retail_Trade,69.4
2006-01-01,GE,Retail_Trade,77.6
2005-12-01,GE,Retail_Trade,84.7
2005-11-01,GE,Retail_Trade,95.1
2005-10-01,GE,Retail_Trade,85.3
2005-09-01,GE,Retail_Trade,84.3
2005-08-01,GE,Retail_Trade,79.2
2005-07-01,GE,Retail_Trade,66.0
2005-06-01,GE,Retail_Trade,70.9
2005-05-01,GE,Retail_Trade,73.3
2005-04-01,GE,Retail_Trade,76.2
2005-03-01,GE,Retail_Trade,79.0
2005-02-01,GE,Retail_Trade,70.6
2005-01-01,GE,Retail_Trade,81.1
2004-12-01,GE,Retail_Trade,81.9
2004-11-01,GE,Retail_Trade,90.8
2004-10-01,GE,Retail_Trade,79.8
2004-09-01,GE,Retail_Trade,83.1
2004-08-01,GE,Retail_Trade,67.8
2004-07-01,GE,Retail_Trade,69.6
2004-06-01,GE,Retail_Trade,73.8
2004-05-01,GE,Retail_Trade,68.3
2004-04-01,GE,Retail_Trade,75.2
2004-03-01,GE,Retail_Trade,88.7
2004-02-01,GE,Retail_Trade,70.3
2004-01-01,GE,Retail_Trade,76.9
2003-12-01,GE,Retail_Trade,82.5
2003-11-01,GE,Retail_Trade,87.3
2003-10-01,GE,Retail_Trade,91.7
2003-09-01,GE,Retail_Trade,89.1
2003-08-01,GE,Retail_Trade,67.0
2003-07-01,GE,Retail_Trade,74.4
2003-06-01,GE,Retail_Trade,70.7
2003-05-01,GE,Retail_Trade,79.1
2003-04-01,GE,Retail_Trade,82.0
2003-03-01,GE,Retail_Trade,77.0
2003-02-01,GE,Retail_Trade,70.2
2003-01-01,GE,Retail_Trade,80.2
2002-12-01,GE,Retail_Trade,83.5
2002-11-01,GE,Retail_Trade,95.7
2002-10-01,GE,Retail_Trade,100.1
2002-09-01,GE,Retail_Trade,89.3
2002-08-01,GE,Retail_Trade,76.7
2002-07-01,GE,Retail_Trade,81.5
2002-06-01,GE,Retail_Trade,74.7
2002-05-01,GE,Retail_Trade,78.4
2002-04-01,GE,Retail_Trade,83.6
2002-03-01,GE,Retail_Trade,81.5
2002-02-01,GE,Retail_Trade,75.0
2002-01-01,GE,Retail_Trade,81.2
2001-12-01,GE,Retail_Trade,83.8
2001-11-01,GE,Retail_Trade,102.5
2001-10-01,GE,Retail_Trade,96.5
2001-09-01,GE,Retail_Trade,86.1
2001-08-01,GE,Retail_Trade,81.0
2001-07-01,GE,Retail_Trade,79.2
2001-06-01,GE,Retail_Trade,72.8
2001-05-01,GE,Retail_Trade,81.9
2001-04-01,GE,Retail_Trade,80.9
2001-03-01,GE,Retail_Trade,93.8
2001-02-01,GE,Retail_Trade,74.4
2001-01-01,GE,Retail_Trade,89.1
2000-12-01,GE,Retail_Trade,84.1
2000-11-01,GE,Retail_Trade,97.5
2000-10-01,GE,Retail_Trade,90.3
2000-09-01,GE,Retail_Trade,88.3
2000-08-01,GE,Retail_Trade,83.7
2000-07-01,GE,Retail_Trade,74.6
2000-06-01,GE,Retail_Trade,69.4
2000-05-01,GE,Retail_Trade,85.3
2000-04-01,GE,Retail_Trade,77.3
2000-03-01,GE,Retail_Trade,86.9
